"filename", "language", "PHP", "SCSS", "JavaScript", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\Proyecto\scss\bootstrap\scss\mixins\_float.scss", "SCSS", 0, 12, 0, 0, 1, 2, 15
"c:\xampp\htdocs\Proyecto\scss\bootstrap\scss\mixins\_forms.scss", "SCSS", 0, 141, 0, 0, 17, 21, 179
"c:\xampp\htdocs\Proyecto\scss\bootstrap\scss\mixins\_gradients.scss", "SCSS", 0, 34, 0, 0, 7, 5, 46
"c:\xampp\htdocs\Proyecto\scss\bootstrap\scss\mixins\_grid-framework.scss", "SCSS", 0, 60, 0, 0, 8, 13, 81
"c:\xampp\htdocs\Proyecto\scss\bootstrap\scss\mixins\_grid.scss", "SCSS", 0, 46, 0, 0, 15, 9, 70
"c:\xampp\htdocs\Proyecto\scss\bootstrap\scss\mixins\_hover.scss", "SCSS", 0, 23, 0, 0, 10, 5, 38
"c:\xampp\htdocs\Proyecto\scss\bootstrap\scss\mixins\_image.scss", "SCSS", 0, 13, 0, 0, 16, 8, 37
"c:\xampp\htdocs\Proyecto\scss\bootstrap\scss\mixins\_list-group.scss", "SCSS", 0, 17, 0, 0, 1, 4, 22
"c:\xampp\htdocs\Proyecto\scss\bootstrap\scss\mixins\_lists.scss", "SCSS", 0, 4, 0, 0, 2, 2, 8
"c:\xampp\htdocs\Proyecto\scss\bootstrap\scss\mixins\_nav-divider.scss", "SCSS", 0, 7, 0, 0, 3, 2, 12
"c:\xampp\htdocs\Proyecto\scss\bootstrap\scss\mixins\_pagination.scss", "SCSS", 0, 19, 0, 0, 1, 3, 23
"c:\xampp\htdocs\Proyecto\scss\bootstrap\scss\mixins\_reset-text.scss", "SCSS", 0, 16, 0, 0, 1, 1, 18
"c:\xampp\htdocs\Proyecto\scss\bootstrap\scss\mixins\_resize.scss", "SCSS", 0, 4, 0, 0, 1, 2, 7
"c:\xampp\htdocs\Proyecto\scss\bootstrap\scss\mixins\_screen-reader.scss", "SCSS", 0, 22, 0, 0, 9, 4, 35
"c:\xampp\htdocs\Proyecto\scss\bootstrap\scss\mixins\_size.scss", "SCSS", 0, 5, 0, 0, 1, 2, 8
"c:\xampp\htdocs\Proyecto\scss\bootstrap\scss\mixins\_table-row.scss", "SCSS", 0, 29, 0, 0, 5, 6, 40
"c:\xampp\htdocs\Proyecto\scss\bootstrap\scss\mixins\_text-emphasis.scss", "SCSS", 0, 13, 0, 0, 2, 3, 18
"c:\xampp\htdocs\Proyecto\scss\bootstrap\scss\mixins\_text-hide.scss", "SCSS", 0, 8, 0, 0, 2, 2, 12
"c:\xampp\htdocs\Proyecto\scss\bootstrap\scss\mixins\_text-truncate.scss", "SCSS", 0, 5, 0, 0, 2, 2, 9
"c:\xampp\htdocs\Proyecto\scss\bootstrap\scss\mixins\_transition.scss", "SCSS", 0, 22, 0, 0, 1, 4, 27
"c:\xampp\htdocs\Proyecto\scss\bootstrap\scss\mixins\_visibility.scss", "SCSS", 0, 4, 0, 0, 2, 3, 9
"c:\xampp\htdocs\Proyecto\scss\bootstrap\scss\utilities\_align.scss", "SCSS", 0, 6, 0, 0, 1, 2, 9
"c:\xampp\htdocs\Proyecto\scss\bootstrap\scss\utilities\_background.scss", "SCSS", 0, 14, 0, 0, 1, 5, 20
"c:\xampp\htdocs\Proyecto\scss\bootstrap\scss\utilities\_borders.scss", "SCSS", 0, 52, 0, 0, 7, 17, 76
"c:\xampp\htdocs\Proyecto\scss\bootstrap\scss\utilities\_clearfix.scss", "SCSS", 0, 3, 0, 0, 0, 1, 4
"c:\xampp\htdocs\Proyecto\scss\bootstrap\scss\utilities\_display.scss", "SCSS", 0, 13, 0, 0, 7, 7, 27
"c:\xampp\htdocs\Proyecto\scss\bootstrap\scss\utilities\_embed.scss", "SCSS", 0, 33, 0, 0, 1, 6, 40
"c:\xampp\htdocs\Proyecto\scss\bootstrap\scss\utilities\_flex.scss", "SCSS", 0, 39, 0, 0, 4, 9, 52
"c:\xampp\htdocs\Proyecto\scss\bootstrap\scss\utilities\_float.scss", "SCSS", 0, 8, 0, 0, 1, 3, 12
"c:\xampp\htdocs\Proyecto\scss\bootstrap\scss\utilities\_interactions.scss", "SCSS", 0, 3, 0, 0, 1, 2, 6
"c:\xampp\htdocs\Proyecto\scss\bootstrap\scss\utilities\_overflow.scss", "SCSS", 0, 3, 0, 0, 1, 2, 6
"c:\xampp\htdocs\Proyecto\scss\bootstrap\scss\utilities\_position.scss", "SCSS", 0, 24, 0, 0, 3, 6, 33
"c:\xampp\htdocs\Proyecto\scss\bootstrap\scss\utilities\_screenreaders.scss", "SCSS", 0, 6, 0, 0, 3, 3, 12
"c:\xampp\htdocs\Proyecto\scss\bootstrap\scss\utilities\_shadows.scss", "SCSS", 0, 4, 0, 0, 1, 2, 7
"c:\xampp\htdocs\Proyecto\scss\bootstrap\scss\utilities\_sizing.scss", "SCSS", 0, 11, 0, 0, 3, 7, 21
"c:\xampp\htdocs\Proyecto\scss\bootstrap\scss\utilities\_spacing.scss", "SCSS", 0, 64, 0, 0, 4, 6, 74
"c:\xampp\htdocs\Proyecto\scss\bootstrap\scss\utilities\_stretched-link.scss", "SCSS", 0, 13, 0, 0, 5, 2, 20
"c:\xampp\htdocs\Proyecto\scss\bootstrap\scss\utilities\_text.scss", "SCSS", 0, 39, 0, 0, 11, 23, 73
"c:\xampp\htdocs\Proyecto\scss\bootstrap\scss\utilities\_visibility.scss", "SCSS", 0, 6, 0, 0, 4, 4, 14
"c:\xampp\htdocs\Proyecto\scss\bootstrap\scss\vendor\_rfs.scss", "SCSS", 0, 126, 0, 0, 43, 36, 205
"c:\xampp\htdocs\Proyecto\scss\style.scss", "SCSS", 0, 141, 0, 0, 2, 40, 183
"c:\xampp\htdocs\Proyecto\user\Delete_account.php", "PHP", 15, 0, 0, 0, 6, 4, 25
"c:\xampp\htdocs\Proyecto\user\address\edit_address.php", "PHP", 175, 0, 0, 0, 4, 10, 189
"c:\xampp\htdocs\Proyecto\user\address\update_address.php", "PHP", 58, 0, 0, 0, 20, 11, 89
"c:\xampp\htdocs\Proyecto\user\personal_information\actualizar_informacion.php", "PHP", 37, 0, 0, 0, 21, 14, 72
"c:\xampp\htdocs\Proyecto\user\personal_information\info_personal.php", "PHP", 190, 0, 0, 0, 17, 20, 227
"c:\xampp\htdocs\Proyecto\user\security\change_password.php", "PHP", 178, 0, 0, 0, 6, 8, 192
"c:\xampp\htdocs\Proyecto\user\security\change_password_handler.php", "PHP", 58, 0, 0, 0, 17, 11, 86
"c:\xampp\htdocs\Proyecto\user\user.php", "PHP", 149, 0, 0, 0, 17, 24, 190
"Total", "-", 4211, 5673, 2145, 8591, 2425, 3561, 26606
